"Monthly survey of food services and drinking places (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 21-10-0019-01 (formerly CANSIM 355-0006)"
"Release date: 2023-04-26"
"Geography: Canada, Province or territory"
""
""

"North American Industry Classification System (NAICS)","Total, food services and drinking places",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service detail","Receipts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023"
"Yukon 4","5,596","5,629","5,778","5,677","5,904","5,713","5,808","5,732","5,358","5,552","5,862","6,094","6,213","6,105","6,046","6,071","6,213","6,139","6,313","6,213","6,020","6,098","6,173","6,113","5,854","6,022","6,314","5,889","5,781","5,805","5,753","6,061","6,371","6,554","6,242","6,178","6,060","5,771","5,665","5,862","5,876","5,913","6,092","6,010","6,009","5,945","6,151","6,014","6,392","6,598","6,260","6,578","6,396","6,481","6,481","6,349","6,326","6,120","5,758","5,933","5,882","5,825","6,259","6,070","6,381","6,349","6,221","6,234","6,376","6,414","6,618","6,636","6,796","6,659","6,885","6,845","6,879","6,905","6,864","7,019","6,937","7,209","7,462","7,430","7,107","7,367","4,434","3,646","4,629","5,215","5,867","6,037","6,412","6,448","6,477","6,172","6,656","6,331","6,558","F","6,618","6,644","6,950","7,002","7,137","7,260","7,166","7,107","6,612","6,954","7,183","8,212","8,122","8,182","7,782","7,619","7,736","7,515","7,626","7,710","F","7,882"
"Northwest Territories 4","6,599","6,887","6,357","9,527","6,612","7,745","6,544","6,339","5,950","6,574","6,529","6,327","6,429","6,497","6,460","5,981","5,916","6,064","6,522","5,884","6,345","5,858","6,138","5,974","5,915","5,972","7,132","6,528","6,554","6,520","6,447","6,710","6,117","6,382","6,289","6,412","6,738","6,516","6,717","6,923","6,745","6,521","6,475","6,515","6,622","6,491","6,434","6,862","6,310","6,218","6,078","6,200","6,250","6,364","6,219","6,327","6,155","6,365","5,926","5,897","5,772","5,972","5,980","5,891","5,853","6,197","6,130","6,386","6,577","6,388","6,604","6,711","6,835","6,566","6,549","6,469","6,611","6,361","6,456","6,392","6,472","6,537","6,503","6,348","6,311","6,259","3,863","3,010","3,900","4,408","4,798","4,713","4,943","4,936","4,963","4,775","4,985","5,107","5,639","F","5,185","5,807","5,926","6,141","5,413","5,294","5,420","5,428","4,724","5,172","5,453","5,908","5,912","5,748","6,132","6,025","6,318","6,094","5,972","6,610","6,729","6,454"
"Nunavut 4","1,127","1,130","1,140","1,229","1,232","1,266","1,342","1,499","1,053","1,078","1,170","1,120","933","976","1,018","993","1,014","1,050","1,034","991","977","1,031","1,026","1,052","1,043","1,096","1,152","1,246","1,317","1,315","1,316","1,504","1,658","1,720","1,653","1,543","F","F","F","F","F","F","F","1,961","F","1,809","F","F","F","F","2,130","2,069","2,043","1,969","F","F","1,686","1,712","F","F","F","F","F","F","F","1,608","F","F","F","F","1,595","1,585","F","F","F","F","F","F","F","F","F","F","F","F","1,474","F","1,195","F","1,536","1,541","1,552","1,556","1,532","1,552","F","1,529","1,673","1,583","1,628","1,540","1,516","1,416","F","1,434","1,501","1,444","1,308","1,424","1,211","1,209","1,262","1,524","F","1,673","1,706","1,694","1,697","1,702","F","F","F","F"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"This table replaces CANSIM table 355-0001 which archived with the release of the November 2007 data."
2,"Due to rounding, components may not add to total."
3,"At the Canada level, seasonally adjusted data are only available for receipts. At the provincial and territorial levels, seasonally adjusted data are only available for the receipts of total, food services and drinking places."
4,"For reference year 1998 and January, February and March 1999, the Canada total includes the territories, but the territory data are not available."



"How to cite: Statistics Canada. Table 21-10-0019-01  Monthly survey of food services and drinking places (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110001901
